coarse_concepts,compression_fine_to_coarse,compression_fine_to_mid,compression_mid_to_coarse,fine_concepts,image_id,method,mid_concepts,vlm_fallback_count,vlm_fallback_rate,vlm_success_count,vlm_success_rate,vlm_total_count
9,1.56,1.08,1.44,14,2326885,v7,13,,,,,
9,2.44,1.22,2.0,22,2342105,v7,18,,,,,
5,3.8,1.9,2.0,19,2347842,v7,10,,,,,
5,3.8,1.36,2.8,19,2364859,v7,14,,,,,
8,2.88,1.77,1.62,23,2376855,v7,13,,,,,
4,4.5,1.29,3.5,18,2379701,v7,14,,,,,
5,4.2,1.4,3.0,21,2396558,v7,15,,,,,
3,4.33,2.17,2.0,13,2406328,v7,6,,,,,
4,4.5,1.64,2.75,18,498335,v7,11,,,,,
3,3.0,1.8,1.67,9,713619,v7,5,,,,,
11,1.27,1.0,1.27,14,2326885,v8,14,,,,,
13,1.69,1.1,1.54,22,2342105,v8,20,,,,,
6,3.17,1.19,2.67,19,2347842,v8,16,,,,,
8,2.38,1.27,1.88,19,2364859,v8,15,,,,,
9,2.56,1.44,1.78,23,2376855,v8,16,,,,,
6,3.0,1.12,2.67,18,2379701,v8,16,,,,,
10,2.1,1.24,1.7,21,2396558,v8,17,,,,,
3,4.33,1.08,4.0,13,2406328,v8,12,,,,,
8,2.25,1.38,1.62,18,498335,v8,13,,,,,
3,3.0,1.29,2.33,9,713619,v8,7,,,,,
9,1.56,1.08,1.44,14,2326885,v8_1,13,,,,,
10,2.2,1.16,1.9,22,2342105,v8_1,19,,,,,
5,3.8,1.27,3.0,19,2347842,v8_1,15,,,,,
6,3.17,1.19,2.67,19,2364859,v8_1,16,,,,,
8,2.88,1.28,2.25,23,2376855,v8_1,18,,,,,
3,6.0,1.06,5.67,18,2379701,v8_1,17,,,,,
4,5.25,1.24,4.25,21,2396558,v8_1,17,,,,,
3,4.33,1.3,3.33,13,2406328,v8_1,10,,,,,
4,4.5,1.2,3.75,18,498335,v8_1,15,,,,,
3,3.0,1.12,2.67,9,713619,v8_1,8,,,,,
9,1.56,1.17,1.33,14,2326885,v20,12,3,21.4,5,35.7,14
9,2.44,1.38,1.78,22,2342105,v20,16,11,50.0,7,31.8,22
4,4.75,1.27,3.75,19,2347842,v20,15,7,36.8,11,57.9,19
5,3.8,1.58,2.4,19,2364859,v20,12,8,42.1,9,47.4,19
10,2.3,1.64,1.4,23,2376855,v20,14,9,39.1,10,43.5,23
3,3.0,1.8,1.67,9,713619,v20,5,7,77.8,1,11.1,9
8,1.75,1.08,1.62,14,2326885,v20_1,13,5,35.7,3,21.4,14
8,2.75,1.22,2.25,22,2342105,v20_1,18,18,81.8,0,0.0,22
3,6.0,1.64,3.67,18,498335,v20_1,11,18,100.0,0,0.0,18
3,3.0,2.25,1.33,9,713619,v20_1,4,2,22.2,6,66.7,9
